design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
c6288,1.9871576,1.9391564,0.04800117,0.04800117,1.9854453,1.9505577,0.034887552,0.034887552,1.9854453,1.9432346,0.042210698,0.042210698,1.9606165,1.9396459,0.020970583,0.020970583,1.9606165,1.9351557,0.02546072,0.02546072,1.9606165,1.9381866,0.022429824,0.022429824,1.9606165,1.9562572,0.0043592453,0.0043592453,1.9606165,1.9308436,0.029772878,0.029772878,1.9606165,1.9482021,0.012414336,0.012414336,1.625,1.613622,0.01137805,0.01137805,1.625,1.6238403,0.001159668,0.001159668,1.625,1.6283709,-0.003370881,0.003370881,1.6010274,1.6264701,-0.02544272,0.02544272,1.6010274,1.5911779,0.009849429,0.009849429,1.6010274,1.5840324,0.016994953,0.016994953,1.6010274,1.5841787,0.016848683,0.016848683,1.6010274,1.5838109,0.017216444,0.017216444,1.6010274,1.5843376,0.016689777,0.016689777,1.6010274,1.5857921,0.015235305,0.015235305,1.6010274,1.5848234,0.016204,0.016204,0.019544845
c6288,2.0,1.9399292,0.060070753,0.060070753,1.6241438,1.6032974,0.020846486,0.020846486,1.6241438,1.605339,0.018804789,0.018804789,1.6241438,1.5940391,0.030104756,0.030104756,1.6010274,1.5828484,0.01817894,0.01817894,1.6010274,1.5832059,0.017821431,0.017821431,1.6010274,1.5846741,0.01635325,0.01635325,1.6010274,1.5843141,0.016713262,0.016713262,1.6010274,1.5835516,0.017475724,0.017475724,1.6010274,1.583334,0.0176934,0.0176934,1.6010274,1.5844492,0.016578197,0.016578197,1.6010274,1.5836053,0.01742208,0.01742208,1.6010274,1.5832537,0.017773628,0.017773628,1.6010274,1.5833296,0.017697811,0.017697811,1.6010274,1.5827752,0.018252134,0.018252134,1.6010274,1.5834513,0.017576098,0.017576098,1.6010274,1.5826648,0.018362522,0.018362522,1.6010274,1.5837044,0.017323017,0.017323017,1.6010274,1.5837098,0.017317533,0.017317533,1.6010274,1.5843482,0.016679168,0.016679168,0.02045225
c6288,2.0,1.9436972,0.056302786,0.056302786,1.6241438,1.5962751,0.027868748,0.027868748,1.6241438,1.6004387,0.023705125,0.023705125,1.6241438,1.5912119,0.032931924,0.032931924,1.6241438,1.5845948,0.039548993,0.039548993,1.6010274,1.5805265,0.020500898,0.020500898,1.6010274,1.5851517,0.015875697,0.015875697,1.6010274,1.5845188,0.01650858,0.01650858,1.6010274,1.58399,0.017037392,0.017037392,1.6010274,1.5854584,0.015568972,0.015568972,1.6010274,1.5833036,0.017723799,0.017723799,1.6010274,1.5833551,0.0176723,0.0176723,1.6010274,1.5849953,0.0160321,0.0160321,1.6010274,1.5848225,0.016204834,0.016204834,1.6010274,1.584701,0.016326427,0.016326427,1.6010274,1.5830958,0.01793158,0.01793158,1.6010274,1.5841302,0.016897202,0.016897202,1.6010274,1.5838759,0.017151475,0.017151475,1.6010274,1.5840437,0.016983628,0.016983628,1.6010274,1.5843989,0.016628504,0.016628504,0.021770049
c6288,1.9982877,1.9383551,0.05993259,0.05993259,1.9982877,1.9611026,0.037185073,0.037185073,1.9734589,1.9429988,0.03046012,0.03046012,1.9734589,1.9430988,0.030360103,0.030360103,1.9606165,1.9481708,0.012445688,0.012445688,1.9606165,1.9365609,0.0240556,0.0240556,1.9606165,1.9271789,0.03343761,0.03343761,1.9606165,1.9335073,0.027109146,0.027109146,1.9606165,1.971758,-0.011141539,0.011141539,1.625,1.6039362,0.021063805,0.021063805,1.6010274,1.6060876,-0.005060196,0.005060196,1.6010274,1.611016,-0.009988666,0.009988666,1.6010274,1.59166,0.009367347,0.009367347,1.6010274,1.5910448,0.009982586,0.009982586,1.6010274,1.5845976,0.016429782,0.016429782,1.6010274,1.5883093,0.0127180815,0.0127180815,1.6010274,1.5839723,0.017055035,0.017055035,1.6010274,1.5838752,0.01715219,0.01715219,1.6010274,1.5841045,0.016922832,0.016922832,1.6010274,1.584742,0.01628542,0.01628542,0.02090767
c6288,1.9982877,1.9359334,0.062354326,0.062354326,1.9854453,1.9728194,0.0126258135,0.0126258135,1.625,1.618396,0.006603956,0.006603956,1.625,1.5963115,0.02868855,0.02868855,1.6010274,1.5967278,0.0042995214,0.0042995214,1.6010274,1.5895386,0.011488795,0.011488795,1.6010274,1.582669,0.01835835,0.01835835,1.6010274,1.5808028,0.020224571,0.020224571,1.6010274,1.5824741,0.018553257,0.018553257,1.6010274,1.5833184,0.017709017,0.017709017,1.6010274,1.5834422,0.017585158,0.017585158,1.6010274,1.5832969,0.017730474,0.017730474,1.6010274,1.5831985,0.017828822,0.017828822,1.6010274,1.5831205,0.017906904,0.017906904,1.6010274,1.582603,0.018424392,0.018424392,1.6010274,1.5828823,0.018145084,0.018145084,1.6010274,1.5830582,0.017969131,0.017969131,1.6010274,1.5826497,0.018377662,0.018377662,1.6010274,1.5830687,0.017958641,0.017958641,1.6010274,1.5831076,0.017919779,0.017919779,0.01903761
c6288,1.6241438,1.6027459,0.021397948,0.021397948,1.6241438,1.6039821,0.020161748,0.020161748,1.6241438,1.5948695,0.029274344,0.029274344,1.6207192,1.5917373,0.028981924,0.028981924,1.6207192,1.5848379,0.03588128,0.03588128,1.6172945,1.5845335,0.032761097,0.032761097,1.6035959,1.5837988,0.019797087,0.019797087,1.6035959,1.5835767,0.020019174,0.020019174,1.6035959,1.583681,0.019914865,0.019914865,1.6035959,1.583362,0.02023387,0.02023387,1.6035959,1.5831947,0.02040112,0.02040112,1.6035959,1.5831454,0.020450473,0.020450473,1.6035959,1.5839877,0.01960814,0.01960814,1.6035959,1.5833352,0.020260692,0.020260692,1.6035959,1.5836284,0.019967437,0.019967437,1.6035959,1.5847702,0.01882565,0.01882565,1.6027397,1.5827563,0.01998341,0.01998341,1.6027397,1.5830489,0.019690752,0.019690752,1.6010274,1.5832183,0.017809033,0.017809033,1.6010274,1.5831883,0.017839074,0.017839074,0.022162955
c6288,1.9734589,1.9365399,0.036918998,0.036918998,1.9734589,1.9558392,0.017619729,0.017619729,1.9734589,1.9313356,0.042123318,0.042123318,1.9734589,1.9279425,0.04551637,0.04551637,1.9734589,1.9377362,0.035722733,0.035722733,1.9734589,1.92758,0.045878887,0.045878887,1.9734589,1.9546819,0.018777013,0.018777013,1.9734589,1.9453717,0.02808714,0.02808714,1.6241438,1.5964739,0.027669907,0.027669907,1.6241438,1.5944746,0.029669285,0.029669285,1.6241438,1.5983756,0.02576828,0.02576828,1.6010274,1.5850832,0.015944123,0.015944123,1.6010274,1.5900096,0.011017799,0.011017799,1.6010274,1.5842797,0.016747713,0.016747713,1.6010274,1.585237,0.015790343,0.015790343,1.6010274,1.5837631,0.017264247,0.017264247,1.6010274,1.5842414,0.01678598,0.01678598,1.6010274,1.5832796,0.01774776,0.01774776,1.6010274,1.5837337,0.017293692,0.017293692,1.6010274,1.5844134,0.01661396,0.01661396,0.024947863
c6288,1.9734589,1.9236195,0.049839377,0.049839377,1.9734589,1.9541314,0.019327521,0.019327521,1.9734589,1.9558979,0.017560959,0.017560959,1.9734589,1.9410985,0.032360435,0.032360435,1.9734589,1.9312377,0.04222119,0.04222119,1.9734589,1.9397748,0.033684134,0.033684134,1.9734589,1.9232348,0.050224066,0.050224066,1.9734589,1.9417874,0.031671524,0.031671524,1.9734589,1.9404408,0.033018112,0.033018112,1.9734589,1.9358965,0.03756237,0.03756237,1.9734589,1.9398618,0.03359711,0.03359711,1.9734589,1.9232634,0.050195456,0.050195456,1.9734589,1.9365759,0.036882997,0.036882997,1.9734589,1.9387536,0.03470528,0.03470528,1.9734589,1.93174,0.04171884,0.04171884,1.9734589,1.9563322,0.01712668,0.01712668,1.9734589,1.9821699,-0.00871098,0.00871098,1.6241438,1.5836487,0.040495157,0.040495157,1.6010274,1.5881829,0.012844443,0.012844443,1.6010274,1.5866019,0.014425516,0.014425516,0.03190861
c6288,2.0008562,1.9380888,0.06276739,0.06276739,1.9982877,1.9723701,0.02591753,0.02591753,1.9734589,1.9487704,0.024688482,0.024688482,1.9734589,1.9425881,0.030870795,0.030870795,1.9734589,1.9210237,0.05243516,0.05243516,1.9734589,1.938362,0.035096884,0.035096884,1.9734589,1.939994,0.03346491,0.03346491,1.9734589,1.9493648,0.024094105,0.024094105,1.9734589,1.9490799,0.024379015,0.024379015,1.9734589,1.9260929,0.047366023,0.047366023,1.9734589,1.9379803,0.035478592,0.035478592,1.9734589,1.9395617,0.03389716,0.03389716,1.6241438,1.6223674,0.0017764568,0.0017764568,1.6241438,1.6178095,0.006334305,0.006334305,1.6241438,1.5920937,0.032050133,0.032050133,1.6010274,1.5866779,0.014349461,0.014349461,1.6010274,1.5809698,0.020057559,0.020057559,1.6010274,1.5813283,0.019699097,0.019699097,1.6010274,1.5834239,0.017603517,0.017603517,1.6010274,1.5853424,0.015684962,0.015684962,0.027900577
c6288,2.0008562,1.9359293,0.06492686,0.06492686,1.9734589,1.9596503,0.013808608,0.013808608,1.9734589,1.9526685,0.020790339,0.020790339,1.9734589,1.9509642,0.022494674,0.022494674,1.9606165,1.9233003,0.037316203,0.037316203,1.9606165,1.9170226,0.043593884,0.043593884,1.9606165,1.9414845,0.019132018,0.019132018,1.625,1.6419882,-0.016988158,0.016988158,1.6010274,1.6413331,-0.040305734,0.040305734,1.6010274,1.6426324,-0.041604996,0.041604996,1.6010274,1.6293869,-0.028359532,0.028359532,1.6001712,1.6344918,-0.034320593,0.034320593,1.6001712,1.6252558,-0.025084615,0.025084615,1.6001712,1.6243569,-0.024185658,0.024185658,1.6001712,1.6039112,-0.003739953,0.003739953,1.6001712,1.5917714,0.008399844,0.008399844,1.6001712,1.582109,0.018062234,0.018062234,1.6001712,1.5803219,0.0198493,0.0198493,1.6001712,1.5827782,0.017392993,0.017392993,1.6001712,1.5855739,0.014597297,0.014597297,0.025747675
